method,n_target,t,n_steps,novelty,fit,latent_dim,image_dim
x_t,600,0.98,,0.12331898510456085,0.20180799067020416,32,1024
euler,600,0.98,,0.000919808866456151,0.16917110979557037,32,1024
x_t,600,0.99,,0.061690155416727066,0.17445075511932373,32,1024
euler,600,0.99,,0.000735000183340162,0.16614598035812378,32,1024
x_t,600,0.995,,0.030805885791778564,0.16975955665111542,32,1024
euler,600,0.995,,0.0006947358488105237,0.16768138110637665,32,1024
dode,600,1.0,2.0,0.44928687810897827,0.3854888379573822,32,1024
dode,600,1.0,4.0,0.20352259278297424,0.1914968639612198,32,1024
dode,600,1.0,6.0,0.13333280384540558,0.17774039506912231,32,1024
dode,600,1.0,8.0,0.08254105597734451,0.1708202064037323,32,1024
dode,600,1.0,10.0,0.05937645584344864,0.1679471731185913,32,1024
dode,600,1.0,12.0,0.039726871997117996,0.16835764050483704,32,1024
dode,600,1.0,14.0,0.027834750711917877,0.1710207611322403,32,1024
dode,600,1.0,16.0,0.021034840494394302,0.16981714963912964,32,1024
dode,600,1.0,18.0,0.015305588021874428,0.16906936466693878,32,1024
dode,600,1.0,20.0,0.014844358898699284,0.16630634665489197,32,1024
x_t,1200,0.5,,2.749911308288574,2.7374167442321777,32,1024
euler,1200,0.5,,0.4953250586986542,0.435805082321167,32,1024
x_t,1200,0.6,,2.229607582092285,2.2144060134887695,32,1024
euler,1200,0.6,,0.3518156409263611,0.2653287947177887,32,1024
x_t,1200,0.7,,1.701436161994934,1.682934045791626,32,1024
euler,1200,0.7,,0.27486228942871094,0.19150914251804352,32,1024
x_t,1200,0.8,,1.1488616466522217,1.1267985105514526,32,1024
euler,1200,0.8,,0.19781702756881714,0.16523654758930206,32,1024
x_t,1200,0.9,,0.599959135055542,0.584868311882019,32,1024
euler,1200,0.9,,0.07180748879909515,0.16404050588607788,32,1024
x_t,1200,0.95,,0.30681607127189636,0.325581818819046,32,1024
euler,1200,0.95,,0.014003206975758076,0.1648941934108734,32,1024
x_t,1200,0.96,,0.2451295256614685,0.27935805916786194,32,1024
euler,1200,0.96,,0.00847963523119688,0.16709667444229126,32,1024
x_t,1200,0.97,,0.1835995614528656,0.23470331728458405,32,1024
euler,1200,0.97,,0.004248415119946003,0.1664929836988449,32,1024
x_t,1200,0.98,,0.12279163300991058,0.20072190463542938,32,1024
euler,1200,0.98,,0.0016311032231897116,0.16777674853801727,32,1024
x_t,1200,0.99,,0.06146623194217682,0.1768411099910736,32,1024
euler,1200,0.99,,0.0007584631093777716,0.16843968629837036,32,1024
x_t,1200,0.995,,0.03084574267268181,0.16842764616012573,32,1024
euler,1200,0.995,,0.0007700776914134622,0.16661615669727325,32,1024
dode,1200,1.0,2.0,0.43081802129745483,0.3873193562030792,32,1024
dode,1200,1.0,4.0,0.17183327674865723,0.18289664387702942,32,1024
dode,1200,1.0,6.0,0.12972433865070343,0.1771986335515976,32,1024
dode,1200,1.0,8.0,0.09440290182828903,0.1692933738231659,32,1024
dode,1200,1.0,10.0,0.06722016632556915,0.16766220331192017,32,1024
dode,1200,1.0,12.0,0.05058857053518295,0.16945047676563263,32,1024
dode,1200,1.0,14.0,0.035105153918266296,0.1690724939107895,32,1024
dode,1200,1.0,16.0,0.027100181207060814,0.16741178929805756,32,1024
dode,1200,1.0,18.0,0.020881416276097298,0.16590552031993866,32,1024
dode,1200,1.0,20.0,0.01675191894173622,0.16731423139572144,32,1024
